2025-10-30 00:53:34,551 [INFO] extractor.entities: Progress: 6100/28353 files processed, 1496412 entities extracted
2025-10-30 00:53:38,369 [INFO] extractor.entities: Progress: 6200/28353 files processed, 1519411 entities extracted
2025-10-30 00:53:42,382 [INFO] extractor.entities: Progress: 6300/28353 files processed, 1542203 entities extracted
2025-10-30 00:53:46,320 [INFO] extractor.entities: Progress: 6400/28353 files processed, 1564869 entities extracted
2025-10-30 00:53:50,824 [INFO] extractor.entities: Progress: 6500/28353 files processed, 1601033 entities extracted
2025-10-30 00:53:55,035 [INFO] extractor.entities: Progress: 6600/28353 files processed, 1626019 entities extracted
2025-10-30 00:53:58,710 [INFO] extractor.entities: Progress: 6700/28353 files processed, 1648442 entities extracted
2025-10-30 00:54:02,939 [INFO] extractor.entities: Progress: 6800/28353 files processed, 1679821 entities extracted
2025-10-30 00:54:07,368 [INFO] extractor.entities: Progress: 6900/28353 files processed, 1706585 entities extracted
2025-10-30 00:54:11,331 [INFO] extractor.entities: Progress: 7000/28353 files processed, 1731033 entities extracted
2025-10-30 00:54:15,321 [INFO] extractor.entities: Progress: 7100/28353 files processed, 1755177 entities extracted
2025-10-30 00:54:19,120 [INFO] extractor.entities: Progress: 7200/28353 files processed, 1777020 entities extracted
2025-10-30 00:54:23,236 [INFO] extractor.entities: Progress: 7300/28353 files processed, 1799982 entities extracted
2025-10-30 00:54:27,439 [INFO] extractor.entities: Progress: 7400/28353 files processed, 1826251 entities extracted
2025-10-30 00:54:31,573 [INFO] extractor.entities: Progress: 7500/28353 files processed, 1850352 entities extracted
2025-10-30 00:54:35,624 [INFO] extractor.entities: Progress: 7600/28353 files processed, 1878344 entities extracted
2025-10-30 00:54:39,731 [INFO] extractor.entities: Progress: 7700/28353 files processed, 1901894 entities extracted
2025-10-30 00:54:43,921 [INFO] extractor.entities: Progress: 7800/28353 files processed, 1924057 entities extracted
2025-10-30 00:54:48,481 [INFO] extractor.entities: Progress: 7900/28353 files processed, 1953912 entities extracted
2025-10-30 00:54:52,426 [INFO] extractor.entities: Progress: 8000/28353 files processed, 1977527 entities extracted
2025-10-30 00:54:56,581 [INFO] extractor.entities: Progress: 8100/28353 files processed, 2001478 entities extracted
2025-10-30 00:55:00,477 [INFO] extractor.entities: Progress: 8200/28353 files processed, 2024410 entities extracted
2025-10-30 00:55:05,287 [INFO] extractor.entities: Progress: 8300/28353 files processed, 2047856 entities extracted
2025-10-30 00:55:09,169 [INFO] extractor.entities: Progress: 8400/28353 files processed, 2070436 entities extracted
2025-10-30 00:55:13,136 [INFO] extractor.entities: Progress: 8500/28353 files processed, 2094675 entities extracted
2025-10-30 00:55:17,057 [INFO] extractor.entities: Progress: 8600/28353 files processed, 2117537 entities extracted
2025-10-30 00:55:20,932 [INFO] extractor.entities: Progress: 8700/28353 files processed, 2140488 entities extracted
2025-10-30 00:55:24,786 [INFO] extractor.entities: Progress: 8800/28353 files processed, 2164028 entities extracted
